CURRENT DISTRIBUTION ALONG ONE HALF OF THE DIPOLE
POSITION Z:   MAGNITUDE:       REAL PART:       IMAGINARY PART:      SECTION #:
0.2183       0.001654            0.000356        -0.001615          208.0 

0.2173       0.001656            0.000358        -0.001616          209.0 

0.2163       0.001657            0.000360        -0.001618          210.0 

0.2153       0.001659            0.000361        -0.001619          211.0 

0.2143       0.001660            0.000363        -0.001620          212.0 

0.2133       0.001662            0.000365        -0.001621          213.0 

0.2122       0.001663            0.000366        -0.001622          214.0 

0.2112       0.001665            0.000368        -0.001623          215.0 

0.2102       0.001666            0.000369        -0.001624          216.0 

0.2092       0.001667            0.000371        -0.001625          217.0 

0.2082       0.001668            0.000373        -0.001626          218.0 

0.2072       0.001669            0.000374        -0.001627          219.0 

0.2062       0.001670            0.000376        -0.001627          220.0 

0.2052       0.001671            0.000377        -0.001628          221.0 

0.2042       0.001672            0.000379        -0.001628          222.0 

0.2032       0.001673            0.000381        -0.001629          223.0 

0.2022       0.001673            0.000382        -0.001629          224.0 

0.2012       0.001674            0.000384        -0.001629          225.0 

0.2002       0.001675            0.000385        -0.001630          226.0 

0.1992       0.001675            0.000387        -0.001630          227.0 

0.1982       0.001676            0.000389        -0.001630          228.0 

0.1972       0.001676            0.000390        -0.001630          229.0 

0.1962       0.001676            0.000392        -0.001630          230.0 

0.1952       0.001677            0.000393        -0.001630          231.0 

0.1942       0.001677            0.000395        -0.001630          232.0 

0.1932       0.001677            0.000396        -0.001629          233.0 

0.1922       0.001677            0.000398        -0.001629          234.0 

0.1912       0.001677            0.000399        -0.001629          235.0 

0.1902       0.001677            0.000401        -0.001628          236.0 

0.1892       0.001677            0.000402        -0.001628          237.0 

0.1882       0.001676            0.000404        -0.001627          238.0 

0.1872       0.001676            0.000405        -0.001626          239.0 

0.1862       0.001676            0.000407        -0.001626          240.0 

0.1852       0.001675            0.000408        -0.001625          241.0 

